Pair(Y/X),coint_smaller,X_std_smaller,lookback,thresh_param,thresh_nonparam,mod1,mod4_1,mod4_2
EWA/EWC,1,0,100,0.75,90%,0.35,2.04,1.7
EWA/EWC,1,0,100,1,95%,0.96,2.02,1.8
EWA/EWC,1,0,100,1.5,99%,1.18,1.95,1.63
EWA/EWC,1,0,200,0.75,90%,0.31,1.33,1.33
EWA/EWC,1,0,200,1,95%,1.11,1.33,1.32
EWA/EWC,1,0,200,1.5,99%,1.06,1.32,1.2
EWA/EWC,1,0,300,0.75,90%,0.57,1.25,1.36
EWA/EWC,1,0,300,1,95%,0.74,1.12,1.36
EWA/EWC,1,0,300,1.5,99%,0.96,1.18,1.35
EWA/EWY,1,0,100,0.75,90%,-0.39,-0.07,-0.05
EWA/EWY,1,0,100,1,95%,-0.45,0.11,-0.13
EWA/EWY,1,0,100,1.5,99%,-0.87,0.36,-0.23
EWA/EWY,1,0,200,0.75,90%,-0.18,0.41,0.61
EWA/EWY,1,0,200,1,95%,0.28,0.33,0.75
EWA/EWY,1,0,200,1.5,99%,-0.77,0.48,0.59
EWA/EWY,1,0,300,0.75,90%,-0.68,0.37,0.12
EWA/EWY,1,0,300,1,95%,-0.01,0.3,0.11
EWA/EWY,1,0,300,1.5,99%,-0.87,0.09,-0.03
EWC/EWA,0,1,100,0.75,90%,0.34,-0.49,-0.19
EWC/EWA,0,1,100,1,95%,0.02,-0.5,-0.17
EWC/EWA,0,1,100,1.5,99%,0.31,-0.43,0.31
EWC/EWA,0,1,200,0.75,90%,0.45,0.45,0.68
EWC/EWA,0,1,200,1,95%,0.4,0.48,0.65
EWC/EWA,0,1,200,1.5,99%,0.15,0.4,0.45
EWC/EWA,0,1,300,0.75,90%,0.5,0.32,0.04
EWC/EWA,0,1,300,1,95%,0.31,0.46,0.05
EWC/EWA,0,1,300,1.5,99%,0.49,0.89,0.07
EWC/EWS,1,1,100,0.75,90%,0.1,-0.2,0.35
EWC/EWS,1,1,100,1,95%,-0.45,-0.14,0.41
EWC/EWS,1,1,100,1.5,99%,-0.35,0.05,0.57
EWC/EWS,1,1,200,0.75,90%,0.16,0.36,0.28
EWC/EWS,1,1,200,1,95%,-0.35,0.38,0.32
EWC/EWS,1,1,200,1.5,99%,-0.08,0.25,0.47
EWC/EWS,1,1,300,0.75,90%,0.25,0.26,0.23
EWC/EWS,1,1,300,1,95%,0.16,0.21,0.39
EWC/EWS,1,1,300,1.5,99%,-0.29,0.63,0.29
EWQ/EWU,1,0,100,0.75,90%,0.65,0.81,1.04
EWQ/EWU,1,0,100,1,95%,0.65,0.79,1.32
EWQ/EWU,1,0,100,1.5,99%,0.6,0.94,1.28
EWQ/EWU,1,0,200,0.75,90%,0.55,0.53,0.56
EWQ/EWU,1,0,200,1,95%,0.52,0.47,0.34
EWQ/EWU,1,0,200,1.5,99%,0.94,0.31,0.35
EWQ/EWU,1,0,300,0.75,90%,0.46,0.32,0.19
EWQ/EWU,1,0,300,1,95%,0.71,0.8,0.29
EWQ/EWU,1,0,300,1.5,99%,1.01,0.84,0.29
EWG/EWL,0,1,100,0.75,90%,0.29,1.26,1.34
EWG/EWL,0,1,100,1,95%,0.77,1.31,1.41
EWG/EWL,0,1,100,1.5,99%,0.56,1.25,1.4
EWG/EWL,0,1,200,0.75,90%,0.9,0.96,1.51
EWG/EWL,0,1,200,1,95%,1.06,1.02,1.42
EWG/EWL,0,1,200,1.5,99%,0.61,1.07,1.51
EWG/EWL,0,1,300,0.75,90%,0.63,0.58,0.43
EWG/EWL,0,1,300,1,95%,0.72,0.67,0.35
EWG/EWL,0,1,300,1.5,99%,0.51,0.7,0.36
EWG/EWU,1,0,100,0.75,90%,0.23,0.59,0.34
EWG/EWU,1,0,100,1,95%,0.25,0.66,0.43
EWG/EWU,1,0,100,1.5,99%,0.67,0.82,0.43
EWG/EWU,1,0,200,0.75,90%,0.07,0.67,0.42
EWG/EWU,1,0,200,1,95%,-1.4,0.59,0.53
EWG/EWU,1,0,200,1.5,99%,0.23,0.72,0.51
EWG/EWU,1,0,300,0.75,90%,-0.07,0.61,0.62
EWG/EWU,1,0,300,1,95%,0.11,0.5,0.67
EWG/EWU,1,0,300,1.5,99%,0.07,0.59,0.61
EWP/EWU,0,1,100,0.75,90%,0.53,0.88,0.77
EWP/EWU,0,1,100,1,95%,0.79,0.82,0.88
EWP/EWU,0,1,100,1.5,99%,0.62,0.74,0.93
EWP/EWU,0,1,200,0.75,90%,0.57,0.51,0.55
EWP/EWU,0,1,200,1,95%,0.64,0.56,0.47
EWP/EWU,0,1,200,1.5,99%,-0.1,0.97,0.5
EWP/EWU,0,1,300,0.75,90%,0.31,0.58,0.66
EWP/EWU,0,1,300,1,95%,0.07,1.08,0.74
EWP/EWU,0,1,300,1.5,99%,-0.3,1.09,0.74
EWL/EWG,1,0,100,0.75,90%,0.35,0.64,0.87
EWL/EWG,1,0,100,1,95%,0.53,0.75,0.92
EWL/EWG,1,0,100,1.5,99%,1.4,0.44,0.94
EWL/EWG,1,0,200,0.75,90%,-0.22,-0.25,-0.11
EWL/EWG,1,0,200,1,95%,0.51,-0.24,-0.1
EWL/EWG,1,0,200,1.5,99%,1.44,-0.48,-0.1
EWL/EWG,1,0,300,0.75,90%,0.09,-0.08,0.42
EWL/EWG,1,0,300,1,95%,0.58,-0.07,0.46
EWL/EWG,1,0,300,1.5,99%,1.35,-0.3,0.44
EWY/EWA,1,1,100,0.75,90%,-0.15,0.27,0.15
EWY/EWA,1,1,100,1,95%,-0.38,0.14,0.19
EWY/EWA,1,1,100,1.5,99%,-0.24,0.01,-0.03
EWY/EWA,1,1,200,0.75,90%,-0.37,-0.49,-0.32
EWY/EWA,1,1,200,1,95%,-0.47,-0.52,-0.29
EWY/EWA,1,1,200,1.5,99%,-0.03,-0.38,-0.22
EWY/EWA,1,1,300,0.75,90%,-0.25,0,-0.28
EWY/EWA,1,1,300,1,95%,-0.15,-0.08,-0.15
EWY/EWA,1,1,300,1.5,99%,-0.06,-0.11,-0.09
EWY/EWC,1,1,100,0.75,90%,0.83,0.88,0.39
EWY/EWC,1,1,100,1,95%,1.32,0.95,0.48
EWY/EWC,1,1,100,1.5,99%,1.43,1.08,0.71
EWY/EWC,1,1,200,0.75,90%,0.88,1.13,0.77
EWY/EWC,1,1,200,1,95%,1.37,1.23,1.01
EWY/EWC,1,1,200,1.5,99%,1.78,1.01,0.92
EWY/EWC,1,1,300,0.75,90%,1.59,0.95,1.21
EWY/EWC,1,1,300,1,95%,1.56,1.13,1.21
EWY/EWC,1,1,300,1.5,99%,2.15,1.17,1.4
EWU/EWQ,0,1,100,0.75,90%,-0.32,0.46,0.8
EWU/EWQ,0,1,100,1,95%,-0.43,0.29,0.77
EWU/EWQ,0,1,100,1.5,99%,-0.37,0.27,0.69
EWU/EWQ,0,1,200,0.75,90%,-0.35,0.65,0.87
EWU/EWQ,0,1,200,1,95%,-0.79,0.62,0.97
EWU/EWQ,0,1,200,1.5,99%,-0.66,0.53,0.84
EWU/EWQ,0,1,300,0.75,90%,0.08,0.36,0.1
EWU/EWQ,0,1,300,1,95%,-0.65,0.46,0.25
EWU/EWQ,0,1,300,1.5,99%,-0.54,0.43,0.43
EWU/EWP,1,0,100,0.75,90%,-0.26,1.4,1.16
EWU/EWP,1,0,100,1,95%,-0.31,1.39,1.16
EWU/EWP,1,0,100,1.5,99%,-0.18,1.37,1.17
EWU/EWP,1,0,200,0.75,90%,0.62,0.5,0.59
EWU/EWP,1,0,200,1,95%,-1,0.3,0.63
EWU/EWP,1,0,200,1.5,99%,-0.42,0.57,0.71
EWU/EWP,1,0,300,0.75,90%,-0.38,0.25,0.56
EWU/EWP,1,0,300,1,95%,-0.9,0.29,0.52
EWU/EWP,1,0,300,1.5,99%,-0.68,0.33,0.55